汉字,漢越語,IPA,聲調,拼音,攝別,四聲,韻目,字母,開合,等第,清濁,上字,下字,,,,,,,,,,,
促,Thúc,t'uk7,銳入,cù,通,入,燭,清,合,三,次清,七,玉,,,,,,,,,,,
俄,Nga,ŋa:1,平聲,é,果,平,歌,疑,開,一,次濁,五,何,,,,,,,,,,,
俊,Tuấn,twɤn5,銳聲,jùn,臻,去,稕,精,合,三,全清,子,峻,,,,,,,,,,,
俎,Trở,tʂɤ:3,問聲,zǔ,遇,上,語,莊,開,三,全清,側,呂,,,,,,,,,,,
俏,Tiếu,tiew5,銳聲,qiào,效,去,笑,清,開,三,次清,七,肖,,,,,,,,,,,
俑,Dũng,zuŋ4,跌聲,yǒng,通,上,腫,以,合,三,次濁,余,隴,,,,,,,,,,,
俗,Tục,tuk8,重入,sú,通,入,燭,邪,合,三,全濁,似,足,,,,,,,,,,,
俘,Phu,fu1,平聲,fú,遇,平,虞,敷,合,三,次清,芳,無,,,,,,,,,,,
俚,Lí,li5,銳聲,lǐ,止,上,止,來,開,三,次濁,良,士,,,,,,,,,,,
俛,Miễn,mien4,跌聲,miǎn,山,上,獮,明,開,三,次濁,亡,辨,,,,,,,,,,,
俜,Binh,biɲ1,平聲,pīng,梗,平,青,滂,開,四,次清,普,丁,,,,,,,,,,,
保,Bảo,ba:w3,問聲,bǎo,效,上,晧,幫,開,一,全清,博,抱,,,,,,,,,,,
俞,Du,zu1,平聲,yú,遇,平,虞,以,合,三,次濁,羊,朱,,,,,,,,,,,
俟,Sĩ,ʂi4,跌聲,sì,止,上,止,俟,開,三,全濁,牀,史,,,,,,,,,,,
俠,Hiệp,hiep8,重入,xiá,咸,入,帖,匣,開,四,全濁,胡,頰,,,,,,,,,,,
信,Tín,tin5,銳聲,xìn,臻,去,震,心,開,三,全清,息,晉,,,,,,,,,,,
修,Tu,tu1,平聲,xiū,流,平,尤,心,開,三,全清,息,流,,,,,,,,,,,
兗,Duyện,zwien6,重聲,yǎn,山,上,獮,以,合,三,次濁,以,轉,,,,,,,,,,,
兹,Tư,tɯ1,平聲,zī,止,平,之,精,開,三,全清,子,之,,,,,,,,,,,
冑,Trụ,tʂu6,重聲,zhòu,流,去,宥,澄,開,三,全濁,直,祐,,,,,,,,,,,
冒,Mạo,ma:w6,重聲,mào,效,去,號,明,開,一,次濁,莫,報,,,,,,,,,,,
冒,Mặc,mak8,重入,mào,曾,入,德,明,開,一,次濁,莫,北,,,,,,,,,,,
冠,Quan,kwa:n1,平聲,guān,山,平,桓,見,合,一,全清,古,丸,,,,,,,,,,,
冠,Quán,kwa:n5,銳聲,guàn,山,去,換,見,合,一,全清,古,玩,,,,,,,,,,,
剃,Thế,t'e5,銳聲,tì,蟹,去,霽,透,開,四,次清,他,計,,,,,,,,,,,
剄,Hĩnh,hiɲ4,跌聲,jǐng,梗,上,迥,見,開,四,全清,古,挺,,,,,,,,,,,
則,Tắc,tak7,銳入,zé,曾,入,德,精,開,一,全清,子,德,,,,,,,,,,,
剉,Tỏa,twa:3,問聲,cuò,果,去,過,清,合,一,次清,麤,臥,,,,,,,,,,,
削,Tước,tɯɤk7,銳入,xuē,宕,入,藥,心,開,三,全清,息,約,,,,,,,,,,,
剋,Khắc,xak7,銳入,kè,曾,入,德,溪,開,一,次清,苦,得,,,,,,,,,,,
剌,Lạt,la:t8,重入,là,山,入,曷,來,開,一,次濁,盧,達,,,,,,,,,,,
前,Tiền,tien2,弦聲,qián,山,平,先,從,開,四,全濁,昨,先,,,,,,,,,,,
剎,Sát,ʂa:t7,銳入,chà,山,入,鎋,初,開,二,次清,初,鎋,,,,,,,,,,,
勁,Kính,kiɲ5,銳聲,jìng,梗,去,勁,見,開,三,全清,居,正,,,,,,,,,,,
勃,Bột,bot8,重入,bó,臻,入,沒,並,合,一,全濁,蒲,沒,,,,,,,,,,,
勅,Sắc,ʂak7,銳入,chì,曾,入,職,徹,開,三,次清,恥,力,,,,,,,,,,,
勇,Dũng,zuŋ4,跌聲,yǒng,通,上,腫,以,合,三,次濁,余,隴,,,,,,,,,,,
勉,Miễn,mien4,跌聲,miǎn,山,上,獮,明,開,三,次濁,亡,辨,,,,,,,,,,,
匍,Bồ,bo2,弦聲,pú,遇,平,模,並,合,一,全濁,薄,胡,,,,,,,,,,,
南,Nam,na:m1,平聲,nán,咸,平,覃,泥,開,一,次濁,那,含,,,,,,,,,,,
卸,Tá,ta:5,銳聲,xiè,假,去,禡,心,開,三,全清,司,夜,,,,,,,,,,,
卻,Khước,xɯɤk7,銳入,què,宕,入,藥,溪,開,三,次清,去,約,,,,,,,,,,,
卼,Ngột,ŋot8,重入,wù,臻,入,沒,疑,合,一,次濁,五,忽,,,,,,,,,,,
卽,Tức,tɯk7,銳入,jí,曾,入,職,精,開,三,全清,子,力,,,,,,,,,,,
厖,Mang,ma:ŋ1,平聲,máng,江,平,江,明,開,二,次濁,莫,江,,,,,,,,,,,
厙,Xá,sa:5,銳聲,shè,假,去,禡,昌,開,三,次清,昌,舍,,,,,,,,,,,
厚,Hậu,hɤw6,重聲,hòu,流,去,候,匣,開,一,全濁,胡,遘,,,,,,,,,,,
受,Thụ,t'u6,重聲,shòu,流,上,有,禪,開,三,全濁,殖,酉,,,,,,,,,,,
叚,Giả,ʑa:3,問聲,jiǎ,假,上,馬,見,開,二,全清,古,疋,,,,,,,,,,,
叛,Bạn,ba:n6,重聲,pàn,山,去,換,並,合,一,全濁,薄,半,,,,,,,,,,,
呰,Tử,tɯ3,問聲,zǐ,止,上,紙,精,開,三,全清,將,此,,,,,,,,,,,
咤,Trá,tʂa5,銳聲,zhà,假,去,禡,知,開,二,全清,陟,駕,,,,,,,,,,,
咥,Điệt,diet8,重入,dié,山,入,屑,定,開,四,全濁,徒,結,,,,,,,,,,,
咥,Hí,hi1,銳聲,xì,止,去,至,曉,開,三,次清,火,至,,,,,,,,,,,
咦,Di,zi1,平聲,yí,止,平,脂,曉,開,三,次清,喜,夷,,,,,,,,,,,
咨,Tư,tɯ1,平聲,zī,止,平,脂,精,開,三,全清,即,夷,,,,,,,,,,,
咫,Chỉ,tʂi3,問聲,zhǐ,止,上,紙,章,開,三,全清,諸,氏,,,,,,,,,,,
咬,Giảo,ʑa:w3,問聲,yǎo,效,平,肴,見,開,二,全清,古,肴,,,,,,,,,,,
咯,Khách,xa:ʧ7,銳入,gē,梗,入,陌,疑,開,二,次濁,五,陌,,,,,,,,,,,
咳,Khái,xa:j5,銳聲,ké,蟹,平,咍,匣,開,一,全濁,戶,來,,,,,,,,,,,
咷,Đào,da:w2,弦聲,táo,效,平,豪,定,開,一,全濁,徒,刀,,,,,,,,,,,
咸,Hàm,ha:m2,弦聲,xián,咸,平,咸,匣,開,二,全濁,胡,讒,,,,,,,,,,,
咻,Hưu,hɯw1,平聲,xiū,流,平,尤,曉,開,三,次清,許,尤,,,,,,,,,,,
咻,Hủ,hu3,問聲,xǔ,遇,上,麌,曉,合,三,次清,況,羽,,,,,,,,,,,
咽,Yết,iet7,銳入,yān,山,入,屑,影,開,四,全清,烏,結,,,,,,,,,,,
咿,Y,i1,平聲,yī,止,平,脂,影,開,三,全清,於,脂,,,,,,,,,,,
哀,Ai,a:j1,平聲,āi,蟹,平,咍,影,開,一,全清,烏,開,,,,,,,,,,,
品,Phẩm,fɤm3,問聲,pǐn,深,上,寑,滂,開,三,次清,丕,飲,,,,,,,,,,,
哂,Sẩn,ʂɤn3,問聲,shěn,臻,上,軫,書,開,三,全清,式,忍,,,,,,,,,,,
哄,Hống,hoŋ5,銳聲,hōng,通,去,送,匣,合,一,全濁,胡,貢,,,,,,,,,,,
哆,Sỉ,ʂi3,問聲,chǐ,止,上,紙,昌,開,三,次清,尺,氏,,,,,,,,,,,
哆,Đá,da:5,銳聲,duō,果,去,箇,端,開,一,全清,丁,佐,,,,,,,,,,,
哇,Oa,wa:1,平聲,wā,假,平,麻,影,合,二,全清,烏,瓜,,,,,,,,,,,
哈,Cáp,ka:p7,銳入,hā,咸,入,合,疑,開,一,次濁,五,合,,,,,,,,,,,
哉,Tai,ta:j1,平聲,zāi,蟹,平,咍,精,開,一,全清,祖,才,,,,,,,,,,,
囿,Hữu,hɯw4,跌聲,yòu,流,去,宥,云,開,三,次濁,于,救,,,,,,,,,,,
型,Hình,hiɲ2,弦聲,xíng,梗,平,青,匣,開,四,全濁,戶,經,,,,,,,,,,,
垓,Cai,ka:j1,平聲,gāi,蟹,平,咍,見,開,一,全清,古,哀,,,,,,,,,,,
垛,Đóa,dwa:5,銳聲,duǒ,果,上,果,定,合,一,全濁,徒,果,,,,,,,,,,,
垠,Ngân,ŋɤn1,平聲,yín,臻,平,真,疑,開,三,次濁,語,巾,,,,,,,,,,,
垢,Cấu,kɤw5,銳聲,gòu,流,上,厚,見,開,一,全清,古,厚,,,,,,,,,,,
垣,Viên,vien1,平聲,yuán,山,平,元,云,合,三,次濁,雨,元,,,,,,,,,,,
垤,Điệt,diet8,重入,dié,山,入,屑,定,開,四,全濁,徒,結,,,,,,,,,,,
城,Thành,t'a:ɲ2,弦聲,chéng,梗,平,清,禪,開,三,全濁,是,征,,,,,,,,,,,
埏,Duyên,zwien1,平聲,yán,山,平,仙,以,開,三,次濁,以,然,,,,,,,,,,,
奎,Khuê,xwe1,平聲,kuí,蟹,平,齊,溪,合,四,次清,苦,圭,,,,,,,,,,,
奏,Tấu,tɤw5,銳聲,zòu,流,去,候,精,開,一,全清,則,候,,,,,,,,,,,
奐,Hoán,hwa:n5,銳聲,huàn,山,去,換,曉,合,一,次清,火,貫,,,,,,,,,,,
契,Khế,xe5,銳聲,qì,蟹,去,霽,溪,開,四,次清,苦,計,,,,,,,,,,,
契,Khất,xɤt7,銳入,qì,臻,入,迄,溪,開,三,次清,去,訖,,,,,,,,,,,
契,Khiết,xiep7,銳入,qì,山,入,屑,溪,開,四,次清,苦,結,,,,,,,,,,,
奕,Dịch,ziʧ8,重入,yì,梗,入,昔,以,開,三,次濁,羊,益,,,,,,,,,,,
姘,Phanh,fa:ɲ1,平聲,pīn,梗,平,耕,滂,開,二,次清,普,耕,,,,,,,,,,,
姚,Diêu,ziew1,平聲,yáo,效,平,宵,以,開,三,次濁,餘,昭,,,,,,,,,,,
姜,Khương,xɯɤŋ1,平聲,jiāng,宕,平,陽,見,開,三,全清,居,良,,,,,,,,,,,
姝,Xu,su1,平聲,shū,遇,平,虞,昌,合,三,次清,昌,朱,,,,,,,,,,,
姞,Cật,kɤt8,重入,jí,臻,入,質,羣,開,三,全濁,巨,乙,,,,,,,,,,,
姣,Giảo,ʑa:w3,問聲,jiāo,效,上,巧,見,開,二,全清,古,巧,,,,,,,,,,,
姤,Cấu,kɤw5,銳聲,gòu,流,去,候,見,開,一,全清,古,候,,,,,,,,,,,
姥,Mỗ,mo4,跌聲,mǔ,遇,上,姥,明,合,一,次濁,莫,補,,,,,,,,,,,
姥,Lão,la:w4,跌聲,lǎo,遇,上,姥,明,合,一,次濁,莫,補,,,,,,,,,,,
姦,Gian,ʑa:n1,平聲,jiān,山,平,刪,見,開,二,全清,古,顏,,,,,,,,,,,
姨,Di,zi1,平聲,yí,止,平,脂,以,開,三,次濁,以,脂,,,,,,,,,,,
姪,Điệt,diet8,重入,zhí,山,入,屑,定,開,四,全濁,徒,結,,,,,,,,,,,
姱,Khoa,xwa:1,平聲,kuā,假,平,麻,溪,合,二,次清,苦,瓜,,,,,,,,,,,
姹,Xá,sa:5,銳聲,chà,假,去,禡,知,開,二,全清,陟,駕,,,,,,,,,,,
姻,Nhân,ɲɤn1,平聲,yīn,臻,平,真,影,開,三,全清,於,真,,,,,,,,,,,
姿,Tư,tɯ1,平聲,zī,止,平,脂,精,開,三,全清,即,夷,,,,,,,,,,,
娀,Tung,tuŋ1,平聲,sōng,通,平,東,心,合,三,全清,息,弓,,,,,,,,,,,
威,Uy,wi1,平聲,wēi,止,平,微,影,合,三,全清,於,非,,,,,,,,,,,
娃,Oa,wa:1,平聲,wá,蟹,平,佳,影,開,二,全清,於,佳,,,,,,,,,,,
娜,Na,na:1,平聲,nuó,果,上,哿,泥,開,一,次濁,奴,可,,,,,,,,,,,
孩,Hài,ha:j2,弦聲,hái,蟹,平,咍,匣,開,一,全濁,戶,來,,,,,,,,,,,
客,Khách,xa:ʧ7,銳入,kè,梗,入,陌,溪,開,二,次清,苦,格,,,,,,,,,,,
宣,Tuyên,twien1,平聲,xuān,山,平,仙,心,合,三,全清,須,緣,,,,,,,,,,,
室,Thất,t'ɤt7,銳入,shì,臻,入,質,書,開,三,全清,式,質,,,,,,,,,,,
宥,Hựu,hɯw6,重聲,yòu,流,去,宥,云,開,三,次濁,于,救,,,,,,,,,,,
宦,Hoạn,hwa:n6,重聲,huàn,山,去,諫,匣,合,二,全濁,胡,慣,,,,,,,,,,,
封,Phong,fɔŋ1,平聲,fēng,通,平,鍾,非,合,三,全清,府,容,,,,,,,,,,,
屋,Ốc,ok7,銳入,wū,通,入,屋,影,合,一,全清,烏,谷,,,,,,,,,,,
屍,Thi,t'i1,平聲,shī,止,平,之,書,開,三,全清,式,之,,,,,,,,,,,
屎,Thỉ,t'i3,問聲,shǐ,止,上,旨,書,開,三,全清,式,視,,,,,,,,,,,
屏,Bình,biɲ2,弦聲,píng,梗,平,青,並,開,四,全濁,薄,經,,,,,,,,,,,
峋,Tuân,twɤn1,平聲,xún,臻,平,諄,心,合,三,全清,相,倫,,,,,,,,,,,
峒,Đồng,doŋ2,弦聲,tóng,通,平,東,定,合,一,全濁,徒,紅,,,,,,,,,,,
峒,Động,doŋ6,重聲,dòng,通,去,送,定,合,一,全濁,徒,弄,,,,,,,,,,,
峙,Trĩ,tʂi4,跌聲,zhì,止,上,止,澄,開,三,全濁,直,里,,,,,,,,,,,
峛,Lệ,le6,重聲,lǐ,止,上,紙,來,開,三,次濁,力,紙,,,,,,,,,,,
差,Si,ʂi1,平聲,cī,止,平,支,初,開,三,次清,楚,宜,,,,,,,,,,,
差,Sai,ʂa:j1,平聲,chāi,蟹,平,佳,初,開,二,次清,楚,佳,,,,,,,,,,,
差,Sai,ʂa:j1,平聲,chā,蟹,平,皆,初,開,二,次清,楚,皆,,,,,,,,,,,
差,Sái,ʂa:j5,銳聲,chà,蟹,去,卦,初,開,二,次清,楚,懈,,,,,,,,,,,
巷,Hạng,ha:ŋ6,重聲,xiàng,江,去,絳,匣,開,二,全濁,胡,絳,,,,,,,,,,,
巹,Cẩn,kɤn3,問聲,jǐn,臻,上,隱,見,開,三,全清,居,隱,,,,,,,,,,,
帝,Đế,de5,銳聲,dì,蟹,去,霽,端,開,四,全清,都,計,,,,,,,,,,,
帢,Kháp,xa:p7,銳入,qià,咸,入,洽,溪,開,二,次清,苦,洽,,,,,,,,,,,
帥,Soái,ʂwa:j5,銳聲,shuài,止,去,至,生,合,三,全清,所,類,,,,,,,,,,,
帥,Suất,ʂwɤt7,銳入,shuài,臻,入,質,生,合,三,全清,所,律,,,,,,,,,,,
幽,U,u1,平聲,yōu,流,平,幽,影,開,三,全清,於,虯,,,,,,,,,,,
庠,Tường,tɯɤŋ2,弦聲,xiáng,宕,平,陽,邪,開,三,全濁,似,羊,,,,,,,,,,,
庥,Hưu,hɯw1,平聲,xiū,流,平,尤,曉,開,三,次清,許,尤,,,,,,,,,,,
度,Độ,do6,重聲,dù,遇,去,暮,定,合,一,全濁,徒,故,,,,,,,,,,,
度,Đạc,da:k8,重入,duó,宕,入,鐸,定,開,一,全濁,徒,落,,,,,,,,,,,
庭,Đình,diɲ2,弦聲,tíng,梗,平,青,定,開,四,全濁,特,丁,,,,,,,,,,,
弇,Yểm,iem3,問聲,yǎn,咸,上,琰,影,開,三,全清,衣,儉,,,,,,,,,,,
弈,Dịch,ziʧ8,重入,yì,梗,入,昔,以,開,三,次濁,羊,益,,,,,,,,,,,
弭,Nhị,ɲi6,重聲,mǐ,止,上,紙,明,開,三,次濁,綿,婢,,,,,,,,,,,
彖,Thoán,t'wa:n5,銳聲,tuàn,山,去,換,透,合,一,次清,通,貫,,,,,,,,,,,
彥,Ngạn,ŋa:n6,重聲,yàn,山,去,線,疑,開,三,次濁,魚,變,,,,,,,,,,,
彧,Úc,uk7,銳入,yù,通,入,屋,影,合,三,全清,於,六,,,,,,,,,,,
彪,Bưu,bɯw1,平聲,biāo,流,平,幽,幫,開,三,全清,甫,烋,,,,,,,,,,,
待,Đãi,da:j4,跌聲,dài,蟹,上,海,定,開,一,全濁,徒,亥,,,,,,,,,,,
徇,Tuẫn,twɤn4,跌聲,xùn,臻,去,稕,邪,合,三,全濁,辭,閏,,,,,,,,,,,
很,Ngận,ŋɤn6,重聲,hěn,臻,上,很,匣,開,一,全濁,胡,墾,,,,,,,,,,,
徉,Dương,zɯɤŋ1,平聲,yáng,宕,平,陽,以,開,三,次濁,與,章,,,,,,,,,,,
徊,Hồi,hoj2,弦聲,huái,蟹,平,灰,匣,合,一,全濁,戶,恢,,,,,,,,,,,
律,Luật,lwɤt8,重入,lǜ,臻,入,術,來,合,三,次濁,呂,䘏,,,,,,,,,,,
後,Hậu,hɤw6,重聲,hòu,流,去,候,匣,開,一,全濁,胡,遘,,,,,,,,,,,
怒,Nộ,no6,重聲,nù,遇,去,暮,泥,合,一,次濁,乃,故,,,,,,,,,,,
思,Tư,tɯ1,平聲,sī,止,平,之,心,開,三,全清,息,茲,,,,,,,,,,,
怠,Đãi,da:j4,跌聲,dài,蟹,上,海,定,開,一,全濁,徒,亥,,,,,,,,,,,
急,Cấp,kɤp7,銳入,jí,深,入,緝,見,開,三,全清,居,立,,,,,,,,,,,
怨,Oán,wa:n5,銳聲,yuàn,山,去,願,影,合,三,全清,於,願,,,,,,,,,,,
怱,Thông,t'oŋ1,平聲,cōng,通,平,東,清,合,一,次清,倉,紅,,,,,,,,,,,
恂,Tuân,twɤn1,平聲,xún,臻,平,諄,心,合,三,全清,相,倫,,,,,,,,,,,
恃,Thị,t'i6,重聲,shì,止,上,止,禪,開,三,全濁,時,止,,,,,,,,,,,
恆,Hằng,haŋ2,弦聲,héng,曾,平,登,匣,開,一,全濁,胡,登,,,,,,,,,,,
恇,Khuông,xuoŋ1,平聲,kuāng,宕,平,陽,溪,合,三,次清,去,王,,,,,,,,,,,
恉,Chỉ,tʂi3,問聲,zhǐ,止,上,旨,章,開,三,全清,職,雉,,,,,,,,,,,
恍,Hoảng,hwan:ŋ3,問聲,huǎng,宕,平,唐,見,合,一,全清,古,黃,,,,,,,,,,,
恒,Hằng,haŋ2,弦聲,héng,曾,平,登,匣,開,一,全濁,胡,登,,,,,,,,,,,
恔,Hiệu,hiew6,重聲,xiào,效,上,篠,見,開,四,全清,古,了,,,,,,,,,,,
恟,Hung,huŋ1,平聲,xiōng,通,平,鍾,曉,合,三,次清,許,容,,,,,,,,,,,
恠,Quái,kwa:j5,銳聲,guài,蟹,去,怪,見,合,二,全清,古,壞,,,,,,,,,,,
恢,Khôi,xoj1,平聲,huī,蟹,平,灰,溪,合,一,次清,苦,回,,,,,,,,,,,
恤,Tuất,twɤt7,銳入,xù,臻,入,術,心,合,三,全清,辛,聿,,,,,,,,,,,
恨,Hận,hɤn6,重聲,hèn,臻,去,恨,匣,開,一,全濁,胡,艮,,,,,,,,,,,
恪,Khác,xa:k7,銳入,kè,宕,入,鐸,溪,開,一,次清,苦,各,,,,,,,,,,,
恫,Đỗng,doŋ4,跌聲,dòng,通,去,送,定,合,一,全濁,徒,弄,,,,,,,,,,,
恬,Điềm,diem2,弦聲,tián,咸,平,添,定,開,四,全濁,徒,兼,,,,,,,,,,,
恰,Kháp,xa:p7,銳入,qià,咸,入,洽,溪,開,二,次清,苦,洽,,,,,,,,,,,
扁,Biển,bien3,問聲,biǎn,山,上,銑,幫,開,四,全清,方,典,,,,,,,,,,,
扃,Quynh,kwiɲ1,平聲,jiōng,梗,平,青,見,合,四,全清,古,螢,,,,,,,,,,,
拜,Bái,ba:j5,銳聲,bài,蟹,去,怪,幫,開,二,全清,博,怪,,,,,,,,,,,
括,Quát,kwa:t7,銳入,guā,山,入,末,見,合,一,全清,古,活,,,,,,,,,,,
拭,Thức,t'ɯk7,銳入,shì,曾,入,職,書,開,三,全清,賞,職,,,,,,,,,,,
拮,Kiết,kiet7,銳入,jié,山,入,屑,見,開,四,全清,古,屑,,,,,,,,,,,
拯,Chửng,tʂɯŋ3,問聲,zhěng,曾,上,拯,章,開,三,全清,煮,拯,,,,,,,,,,,
拱,Củng,kuŋ3,問聲,gǒng,通,上,腫,見,合,三,全清,居,悚,,,,,,,,,,,
拴,Thuyên,t'wien1,平聲,shuān,山,平,仙,清,合,三,次清,此,緣,,,,,,,,,,,
拶,Tạt,ta:t8,重入,zǎn,山,入,末,精,開,一,全清,姊,末,,,,,,,,,,,
拼,Bính,biɲ5,銳聲,pīn,梗,平,耕,幫,開,二,全清,北,萌,,,,,,,,,,,
拾,Thập,t'ɤp8,重入,shí,深,入,緝,禪,開,三,全濁,是,執,,,,,,,,,,,
持,Trì,tʂi2,弦聲,chí,止,平,之,澄,開,三,全濁,直,之,,,,,,,,,,,
挂,Quải,kwa:j3,問聲,guà,蟹,去,卦,見,合,二,全清,古,賣,,,,,,,,,,,
挅,Đỏa,dwa:3,問聲,duò,果,去,過,端,合,一,全清,都,唾,,,,,,,,,,,
指,Chỉ,tʂi3,問聲,zhǐ,止,上,旨,章,開,三,全清,職,雉,,,,,,,,,,,
按,Án,a:n5,銳聲,àn,山,去,翰,影,開,一,全清,烏,旰,,,,,,,,,,,
挑,Khiêu,xiew1,平聲,tiāo,效,平,蕭,透,開,四,次清,吐,彫,,,,,,,,,,,
挑,Thiểu,t'iew3,問聲,tiǎo,效,上,篠,定,開,四,全濁,徒,了,,,,,,,,,,,
挪,Na,na:1,平聲,nuó,果,平,歌,泥,開,一,次濁,諾,何,,,,,,,,,,,
挺,Đĩnh,diɲ4,跌聲,tǐng,梗,上,迥,定,開,四,全濁,徒,鼎,,,,,,,,,,,
政,Chính,tʂiɲ5,銳聲,zhèng,梗,去,勁,章,開,三,全清,之,盛,,,,,,,,,,,
敁,Điêm,diem1,平聲,diān,咸,平,添,端,開,四,全清,丁,兼,,,,,,,,,,,
敂,Khấu,xɤw5,銳聲,kòu,流,上,厚,見,開,一,全清,古,厚,,,,,,,,,,,
故,Cố,ko5,銳聲,gù,遇,去,暮,見,合,一,全清,古,暮,,,,,,,,,,,
斫,Chước,tʂɯɤk7,銳入,zhuó,宕,入,藥,章,開,三,全清,之,若,,,,,,,,,,,
施,Thi,t'i1,平聲,shī,止,平,支,書,開,三,全清,式,支,,,,,,,,,,,
施,Dị,zi6,重聲,yì,止,去,寘,以,開,三,次濁,以,寘,,,,,,,,,,,
施,Thí,t'i5,銳聲,shī,止,去,寘,書,開,三,全清,施,智,,,,,,,,,,,
斿,Du,zu1,平聲,yóu,流,平,尤,以,開,三,次濁,以,周,,,,,,,,,,,
既,Kí,ki5,銳聲,jì,止,去,未,見,開,三,全清,居,豙,,,,,,,,,,,
昚,Thận,t'ɤn6,重聲,shèn,臻,去,震,禪,開,三,全濁,時,刃,,,,,,,,,,,
昜,Dương,zɯɤŋ1,平聲,yàng,宕,平,陽,以,開,三,次濁,與,章,,,,,,,,,,,
星,Tinh,tiɲ1,平聲,xīng,梗,平,青,心,開,四,全清,桑,經,,,,,,,,,,,
映,Ánh,a:ɲ5,銳聲,yìng,梗,去,映,影,開,三,全清,於,敬,,,,,,,,,,,
春,Xuân,swɤn1,平聲,chūn,臻,平,諄,昌,合,三,次清,昌,脣,,,,,,,,,,,
昧,Muội,muoj6,重聲,mèi,蟹,去,隊,明,合,一,次濁,莫,佩,,,,,,,,,,,
昨,Tạc,ta:k8,重入,zuó,宕,入,鐸,從,開,一,全濁,在,各,,,,,,,,,,,
昫,Hú,hu5,銳聲,xù,遇,去,遇,曉,合,三,次清,香,句,,,,,,,,,,,
昭,Chiêu,tʂiew1,平聲,zhāo,效,平,宵,章,開,三,全清,止,遙,,,,,,,,,,,
是,Thị,t'i6,重聲,shì,止,上,紙,禪,開,三,全濁,承,紙,,,,,,,,,,,
昱,Dục,zuk8,重入,yù,通,入,屋,以,合,三,次濁,余,六,,,,,,,,,,,
昳,Điệt,diet8,重入,dié,山,入,屑,定,開,四,全濁,徒,結,,,,,,,,,,,
昴,Mão,ma:w4,跌聲,mǎo,效,上,巧,明,開,二,次濁,莫,飽,,,,,,,,,,,
昵,Nật,nɤt8,重入,nì,臻,入,質,娘,開,三,次濁,尼,質,,,,,,,,,,,
昶,Sưởng,ʂɯɤŋ3,問聲,chǎng,宕,上,養,徹,開,三,次清,丑,兩,,,,,,,,,,,
曷,Hạt,ha:t8,重入,hé,山,入,曷,匣,開,一,全濁,胡,葛,,,,,,,,,,,
枯,Khô,ko1,平聲,kū,遇,平,模,溪,合,一,次清,苦,胡,,,,,,,,,,,
枰,Bình,biɲ2,弦聲,píng,梗,平,庚,並,開,三,全濁,符,兵,,,,,,,,,,,
枰,Bính,biɲ5,銳聲,píng,梗,去,映,並,開,三,全濁,皮,命,,,,,,,,,,,
枲,Tỉ,ti3,問聲,xǐ,止,上,止,心,開,三,全清,胥,里,,,,,,,,,,,
枳,Chỉ,tʂi3,問聲,zhī,止,上,紙,章,開,三,全清,諸,氏,,,,,,,,,,,
枴,Quải,kwa:j3,問聲,guǎi,蟹,上,蟹,見,合,二,全清,乖,買,,,,,,,,,,,
枵,Hiêu,hiew1,平聲,xiāo,效,平,宵,曉,開,三,次清,許,嬌,,,,,,,,,,,
架,Giá,ʑa:5,銳聲,jià,假,去,禡,見,開,二,全清,古,訝,,,,,,,,,,,
枷,Gia,ʑa:1,平聲,jiā,假,平,麻,見,開,二,全清,古,牙,,,,,,,,,,,
枸,Cẩu,kɤw3,問聲,gǒu,流,上,厚,見,開,一,全清,古,厚,,,,,,,,,,,
枹,Phu,fu1,平聲,fū,遇,平,虞,奉,合,三,全濁,防,無,,,,,,,,,,,
枹,Bao,ba:w1,平聲,bāo,效,平,肴,幫,開,二,全清,布,交,,,,,,,,,,,
枹,Phù,fu2,弦聲,fú,流,平,尤,奉,開,三,全濁,縛,謀,,,,,,,,,,,
枻,Duệ,zwe6,重聲,yì,蟹,去,祭,以,開,三,次濁,餘,制,,,,,,,,,,,
枼,Diệp,ziep8,重入,yè,咸,入,葉,以,開,三,次濁,與,涉,,,,,,,,,,,
柁,Đả,da:3,問聲,duò,果,上,哿,定,開,一,全濁,徒,可,,,,,,,,,,,
柄,Bính,biɲ5,銳聲,bǐng,梗,去,映,幫,開,三,全清,陂,病,,,,,,,,,,,
柈,Bàn,ba:n2,弦聲,pán,山,平,桓,並,合,一,全濁,薄,官,,,,,,,,,,,
柎,Phu,fu1,平聲,fū,遇,平,虞,非,合,三,全清,甫,無,,,,,,,,,,,
柏,Bách,ba:ʧ7,銳入,bó,梗,入,陌,幫,開,二,全清,博,陌,,,,,,,,,,,
某,Mỗ,mo4,跌聲,mǒu,流,上,厚,明,開,一,次濁,莫,厚,,,,,,,,,,,
柑,Cam,ka:m1,平聲,gān,咸,平,談,見,開,一,全清,古,三,,,,,,,,,,,
柒,Thất,t'ɤt7,銳入,qī,臻,入,質,清,開,三,次清,親,吉,,,,,,,,,,,
染,Nhiễm,ɲiem4,跌聲,rǎn,咸,上,琰,日,開,三,次濁,而,琰,,,,,,,,,,,
柔,Nhu,ɲu1,平聲,róu,流,平,尤,日,開,三,次濁,耳,由,,,,,,,,,,,
柘,Chá,tʂa:5,銳聲,zhè,假,去,禡,章,開,三,全清,之,夜,,,,,,,,,,,
柙,Hiệp,hiep8,重入,xiá,咸,入,狎,匣,開,二,全濁,胡,甲,,,,,,,,,,,
柚,Trục,tʂuk8,重入,zhú,通,入,屋,澄,合,三,全濁,直,六,,,,,,,,,,,
